premise,hypothesis,label
"lesvos, chios, and samos still have many vestiges of the traditional rural lifestyle that made them rich and coveted during previous centuries.","samos has a very traditional lifestyle to this day, which many neighboring cities envy.",1
"kinda nippy, ain't it? anse said.",anse thought it was cold because he was used to hot weather.,1
some evidence from public records is suggestive.,some evidence of abuse from public records is suggestive of murder.,1
"so i can't even imagine how you feel, after shadow-dancing with her for so long.","you must feel terrible right now, after all that.",1
no  and so and and my boss has has gone for about like three times i think and i told him he's obviously in a high risk group,my boss is in a high risk group because he has been gone a few times.,1
a pointless act.,the act was unnecessary.,1
it tracks the use of each appropriation for specified purposes in separate budget accounts through the various stages of budget execution from appropriation to apportionment and allotment to obligation and eventual outlay.,cost calculation is a part of budget execution.,1
"in effect, the grant challenges mals to raise at least $100,000 a year in 2003 and 2004.","mals had to raise $100,000 or be shut down.",1
"yes, i think that would be decidedly better.",that would be much better than the other option. ,1
yeah oh that sounds fantastic,that sounds really bad. ,2
"this area is not just for pilgrims, however; it is also for those in search of the great outdoors, whether for sports activities or simply hiking.",this area really is just for pilgrims.,2
wait a minute.,wait a hour. hold on.,2
"a company of handweavers has been working here since at least 1723, and visitors are able to watch them at work, but their products have become less distinctive since they expanded into a popular tourist attraction.","a company of handweavers used to work here dating back to 1723, but they are no longer in business but you can see where they used to work.",2
limitations on total emissions. ,the emissions are unlimited.,2
"rooms 11-12 concentrate on the period between 1100 b.c. and 650 b.c., including a large collection of gold jewelry.","in rooms 11-12, we see only exhibits about 20th-century agriculture.",2
well you can believe that anyway right,that is not believable.,2
very dangerous.,not dangerous.,2
when you get to the point where you're looking forward to it then it gets to be important because you've got to do some planning for it uh you know especially if the company is not doing it for you,i think it's always best just to let the company do it.,2
"'all right,' i said.",i told them no.,2
"this is the least interesting part of what was once the largest system of fortifications in the world, and in any case you can't get in to see it.",it is open to the public everyday for 12 hours.,2
their conversations took place at precisely the moment the house reconsidered china mfn.,they talked about it a month after when the house was debating china mfn.,2
i wonder i didn't scream right out there and then.,i gave out a loud scream. ,2
"about 2 km (1 mile) south?­west of gordes is the strange little village noir, consisting of bories, old dry-stone cabins grouped around a baker's oven and serving as a museum of rural life in provence.",village noir is made of mud huts. ,2
he left us shortly after.,he stayed the whole time.,2
"on one side of midosuji is america-mura, the favorite posing ground for osaka's desperately trendy youth, so named for the large number of stores selling much-sought-after secondhand apparel imported from the us.",america-mura is filled with a crowd of elderly hanging out in the countless mochi cafes.,2
"lsc has contracted with an independent research firm to develop and implement a pilot project at six lsc grantees that will gather the necessary information needed to create a reporting system that captures all the work of lsc grantees, not simply the traditional closed cases.",no lsc grantees will gather any information.,2
it is disingenuous to say we should do  money is scarce and so is political capital.,money and political capital are not scarce.,2
"after the break-up of the mauryan empire, new invaders appeared on the northwest frontier.","the mauryan empire continued to exist, easily repelling invaders on its frontier.",2
"throughout the controversy, bennett has made much of the cause of truth with a capital t. his standard article, portentously titled clinton, gays, and the truth, accused the clintonites of scanting that important commodity.","bennett wrote his article for the magazine, the new yorker.",2
