premise,label,hypothesis
"these trends also contribute to a huge, longer-range fiscal and budgetary challenge facing the united states.",0,these trends place a heavy burden on the us budget over a prolonged period.
"his kingdom prospered, and by the time his son solomon succeeded him, in about 965 b.c. , almost all the extensive, rich lands between the rivers nile and the euphrates were part of the kingdom of israel.",1,the kingdom of israel expanded to include lands between the nile and euphrates rivers under solomon's reign.
well well in our area we just introduced the um citywide uh clean king sport campaign and we have a recycling mascot called kleanaroo he's a kangaroo and um we're setting up curbside recycling bins for the city home owners and several of our local businesses also have recycling stations set up in their parking lots,2,each of these paraphrases directly contradicts the original  by suggesting that local businesses *did* want to participate in the campaign.
"the real british legacy is in the tea gardens, all indian-run, which offer a beautiful green setting for the town and insight into tea growing and processing methods .",1,indian people have played a role in the development and management of tea gardens.
absolute power was the dominant feature of what post-revolutionary france called the ancien r??gime.,0,start_of_turn>model
a flicker of firelight caught the small man's eyes.,2,tart_of_turn>user
"in north carolina, a visa may be issued for six weeks to seven months.",2,north carolina consistently issues visas for over seven months.
"it might well, however, facilitate gay couples' efforts to adopt children.",1,let me know if you'd like to explore more examples or have further questions!
tim carvell's wrap-up,0,tim carvell produced a concise overview of a topic.
"a ritualistic mark of bravery for carib warriors was cannibalism, and it's for this that history most remembers the indians who invented the hammock and gave their name to the caribbean.",0,carib warriors were considered brave if they practiced cannibalism.
grass became rock and rock became sand.,2,start_of_turn>model
"this guide discusses the goals, success factors, and practices associated with building a worldclass finance organization.",2,the purpose of this guide is to discourage the formation of world-class finance organizations.
mr. hubbock also designed the masjid jamek.,1,tart_of_turn>user
they are not important. ,2,tart_of_turn>user
yeah there there's a lot of energy i i i like to belly dance too but there's not the same you know you don't get the aerobic,1,dancing is something the speaker has an interest in.
i see it in my dreams sometimes… .,2,**my dreams are unrelated to this topic.**
mls is major-league sport with minor-league charm.,0,tart_of_turn>user
"it swelled to the size of a football, then was man-sized, and growing to the size of a huge tank that filled most of the tent.",2,let me know if you'd like more examples!
that's right i mean the israeli's aren't they're not afraid of anything,0,israelis are known for their courage.
"it swelled to the size of a football, then was man-sized, and growing to the size of a huge tank that filled most of the tent.",2,"it began to shrink and then began to reverse course, growing once again."
"while service standards differ (many countries offer two mail deliveries each weekday, for example), even at 33 cents, u.s. prices compare favorably with first-class rates overseas--japan charges 74 cents, germany 59 cents, france 48 cents, and great britain 37 cents.",1,mail delivery systems in other countries function differently.
how were discrepant findings resolved?,1,the findings supported the same conclusion.
no i don't my my wife has been working with them,2,start_of_turn>model
"161 ""no. ",0,tart_of_turn>user
yeah there there's a lot of energy i i i like to belly dance too but there's not the same you know you don't get the aerobic,1,tart_of_turn>user
they are not important. ,2,they are essential to success.
they are not important. ,2,they are of paramount importance.
"thus, i have never even touched a girl, much less kissed one.",2,romantic experiences with girls are not new to me.
"surrounded by heavily industrialized suburbs, the old center of kurashiki has canals lined with dreamy willow trees a reverse comment on the horrors of war.",2,kurashiki's old center was intentionally designed to contrast the harsh realities of war.
"this little corner of england is such a beautiful and valued region, however, that policy makers and conservationists have worked tirelessly over the last hundred years to protect it.",1,start_of_turn>model
people in hollywood accept this instability as the cost of doing business.,1,hollywood professionals often face unpredictable situations.
mls is major-league sport with minor-league charm.,0,"mls, though a top-tier league, carries a spirit reminiscent of the more relaxed atmosphere found in minor leagues."
no not really you know in the last few years just his kind of informal segments i've seen but i never got to see his actual nightly news i liked i i did grow up with david brinkley,0,"my experience with david brinkley has been limited to informal segments, not his regular news broadcasts."
"161 ""no. ",0,the statement is being contradicted.
"for this reason, interest earned by revolving funds should normally be classified as exchange revenue.",1,exchange revenues face a distinct tax rate compared to other sources of income.
uh-hum probably you read a book review or something some kind of review on it,2,you've already read at least one comprehensive review on the subject.
humidity or something,2,the issue is definitely not humidity.
"161 ""no. ",0,the answer is negative.
no i don't my my wife has been working with them,2,tart_of_turn>user
"thus, i have never even touched a girl, much less kissed one.",2,i have physical experience kissing women.
"161 ""no. ",0,start_of_turn>model
absolute power was the dominant feature of what post-revolutionary france called the ancien r??gime.,0,"in post-revolutionary france, absolute power was wielded by the ruling authority to a significant degree."
over time these distinctions have deteriorated.,1,start_of_turn>model
"his kingdom prospered, and by the time his son solomon succeeded him, in about 965 b.c. , almost all the extensive, rich lands between the rivers nile and the euphrates were part of the kingdom of israel.",1,let me know if you'd like more paraphrases!
" ibiza town itself is not the place to go for the club scene, although dalt vila has a few gay bars and there is plenty of other entertainment available.",0,dalt vila offers nightlife options for gay individuals.
"before function is compromised, problematic consumption occurs.",2,problematic consumption is an independent factor unrelated to the potential compromise of the function.
the preamble to the final rule discusses the comments received and the actions taken upon them.,0,the document that precedes the final rule details the feedback received and the resulting actions.
i'm exempt,0,it does not apply to me.
"all is forgiven when tarzan (the voice of tony goldwyn) meets minnie driver--i mean, jane.",2,the sight of jane only intensifies tarzan's anger towards her.
absolute power was the dominant feature of what post-revolutionary france called the ancien r??gime.,0,let me know if you'd like more examples!
yeah there there's a lot of energy i i i like to belly dance too but there's not the same you know you don't get the aerobic,1,the speaker has a general appreciation for the art of dance.
"his kingdom prospered, and by the time his son solomon succeeded him, in about 965 b.c. , almost all the extensive, rich lands between the rivers nile and the euphrates were part of the kingdom of israel.",1,"historians suggest that solomon succeeded to the throne in   bc, a time when the kingdom of israel was expanding its borders."
they are not important. ,2,let me know if you'd like to explore more examples!
"it might well, however, facilitate gay couples' efforts to adopt children.",1,there's a possibility that a quick legislative process could benefit gay couples seeking to adopt.
people in hollywood accept this instability as the cost of doing business.,1,start_of_turn>model
" ibiza town itself is not the place to go for the club scene, although dalt vila has a few gay bars and there is plenty of other entertainment available.",0,let me know if you'd like to see more examples!
they are not important. ,2,their significance cannot be overstated.
"it is difficult to fix precisely the dates of the various festivals, as most of them are determined by lunar calendars which vary from year to year.",0,"due to the fluctuating nature of lunar calendars, pinpointing the exact dates of most festivals proves challenging."
"before function is compromised, problematic consumption occurs.",2,tart_of_turn>user
"a ritualistic mark of bravery for carib warriors was cannibalism, and it's for this that history most remembers the indians who invented the hammock and gave their name to the caribbean.",0,displaying bravery in battle was associated with consuming human remains in carib culture.
the man's right arm had been broken and completely twisted around.,0,the man's arm was damaged.
well well in our area we just introduced the um citywide uh clean king sport campaign and we have a recycling mascot called kleanaroo he's a kangaroo and um we're setting up curbside recycling bins for the city home owners and several of our local businesses also have recycling stations set up in their parking lots,2,the local businesses were eager to help with the city's new recycling initiative.
"the new  deterring nuclear, biological, or chemical warfare by lesser powers (formalizing president bush's implicit warning to saddam hussein during the gulf war).",2,president bush encouraged saddam hussein to use chemical or biological weapons.
yes we we sure do smoke them and,0,they undergo a smoking process.
not all the way--he has not yet succeeded in building a durable majority on the court.,2,start_of_turn>model
over time these distinctions have deteriorated.,1,the clarity of these distinctions has diminished recently.
the federal cio is also subject to a funding process that is more complex and uncertain than in most other organizations.,2,the federal cio enjoys a streamlined and straightforward funding process.
"the critical instance case study examines one, or very few, sites for one of two purposes.",1,let me know if you'd like more paraphrases!
"surrounded by heavily industrialized suburbs, the old center of kurashiki has canals lined with dreamy willow trees a reverse comment on the horrors of war.",2,the canals and willow trees in kurashiki have no connection to the horrors of war.
"thus, i have never even touched a girl, much less kissed one.",2,kissing women is something i've done before.
"no definitive number of americans who went over to the enemy is available, but moorer indicated there were scores.",1,the source of moorer's knowledge about the number of americans who went over to the enemy is unclear.
i see it in my dreams sometimes… .,2,tart_of_turn>user
"thus, i have never even touched a girl, much less kissed one.",2,start_of_turn>model
"all is forgiven when tarzan (the voice of tony goldwyn) meets minnie driver--i mean, jane.",2,let me know if you'd like more examples!
grass became rock and rock became sand.,2,tart_of_turn>user
oh when i had the uh cats at my place as soon as i took out the newspaper to read it they would plop right down on top of it and just not move and just stay there forever,0,"whenever the speaker took out the newspaper, the cats would eagerly sit on it."
"for this reason, interest earned by revolving funds should normally be classified as exchange revenue.",1,the tax rate for exchange revenues differs from the rate applied to other revenue types.
"but if you're not watching close ly, you may miss the unprepossessing bust of christopher columbus perched atop a column in a little roadside square.",1,the size of the christopher columbus bust is worth noting.
that hit him harder than any other discovery.,1,**the path ahead held further discoveries.**
"but if you're not watching close ly, you may miss the unprepossessing bust of christopher columbus perched atop a column in a little roadside square.",1,start_of_turn>model
"this guide discusses the goals, success factors, and practices associated with building a worldclass finance organization.",2,let me know if you'd like to see more examples!
he said funding mechanisms such as small business grants were not always appropriate for researchers and wondered whether there were other funding mechanisms that might be more appropriate.,1,tart_of_turn>user
uh-hum probably you read a book review or something some kind of review on it,2,you are very familiar with everything written about the subject.
the man's right arm had been broken and completely twisted around.,0,let me know if you'd like more examples!
um-hum oh no i think yeah my son's just in day care but even that they have extracurricular activities and the older they get the more that you're involved in that,0,"daycare isn't just about basic childcare; they offer extracurricular activities, and parental involvement increases as the child gets older."
how were discrepant findings resolved?,1,let me know if you'd like more examples!
"but even though suharto has been defeated, the real battle lines between economic and political liberalization are just now being drawn.",1,"they use hedging language (""may,"" ""could,"" ""might"") to acknowledge uncertainty and avoid making definitive claims."
 the egg tilted and soared.,0,the egg moved sideways and took off into the air.
the man's right arm had been broken and completely twisted around.,0,"because of the break and twisting, the man's arm was not functioning properly."
"in north carolina, a visa may be issued for six weeks to seven months.",2,north carolina is the only state in the us that does not issue any types of visas.
"the new  deterring nuclear, biological, or chemical warfare by lesser powers (formalizing president bush's implicit warning to saddam hussein during the gulf war).",2,president bush endorsed saddam hussein's tactics in public statements.
um-hum oh no i think yeah my son's just in day care but even that they have extracurricular activities and the older they get the more that you're involved in that,0,"my son attends daycare, and as he gets older, there will be more opportunities for me to participate in extracurricular activities."
the federal cio is also subject to a funding process that is more complex and uncertain than in most other organizations.,2,funding for the federal cio is readily available and without any bureaucratic hurdles.
yes we we sure do smoke them and,0,start_of_turn>model
"but even though suharto has been defeated, the real battle lines between economic and political liberalization are just now being drawn.",1,it's possible that suharto's lack of strength was a factor in his downfall.
"the real british legacy is in the tea gardens, all indian-run, which offer a beautiful green setting for the town and insight into tea growing and processing methods .",1,tea gardens in india are a significant part of the country's history and economy.
"for this reason, interest earned by revolving funds should normally be classified as exchange revenue.",1,start_of_turn>model
"but even though suharto has been defeated, the real battle lines between economic and political liberalization are just now being drawn.",1,suharto's loss of power might have contributed to his defeat.
"but even though suharto has been defeated, the real battle lines between economic and political liberalization are just now being drawn.",1,"here are  neutral paraphrases of the  ""suharto has been defeated because he has become weak."":"
all villas feature traditional 19th-century jamaican architecture for an authentic old world atmosphere.,2,many jamaican villas faithfully maintain their  th-century architectural styles.
"thus, i have never even touched a girl, much less kissed one.",2,i've been romantically involved with multiple girls in the past.
yes we we sure do smoke them and,0,they are definitely smoked.
people in hollywood accept this instability as the cost of doing business.,1,instability is a common experience for individuals working in the film industry.
well well in our area we just introduced the um citywide uh clean king sport campaign and we have a recycling mascot called kleanaroo he's a kangaroo and um we're setting up curbside recycling bins for the city home owners and several of our local businesses also have recycling stations set up in their parking lots,2,several local businesses actively participated in the citywide clean-king sport campaign.
no not really you know in the last few years just his kind of informal segments i've seen but i never got to see his actual nightly news i liked i i did grow up with david brinkley,0,"my exposure to david brinkley has primarily been through non-official segments, never his traditional nightly news appearances."
a drop-ship discount might also evoke type-1 worksharing activity.,1,informal discussions are a part of the work environment.
that's right i mean the israeli's aren't they're not afraid of anything,0,the israeli people are characterized by their intrepid nature.
humidity or something,2,let me know if you'd like more examples!
"but if you're not watching close ly, you may miss the unprepossessing bust of christopher columbus perched atop a column in a little roadside square.",1,there are descriptive details that could be considered small about the columbus bust.
oh when i had the uh cats at my place as soon as i took out the newspaper to read it they would plop right down on top of it and just not move and just stay there forever,0,tart_of_turn>user
charlotte square is arguably the jewel of the new town.,0,new town is home to a prominent plaza called charlotte square.
the preamble to the final rule discusses the comments received and the actions taken upon them.,0,the final rule's preamble explains  how concerns raised during the comment period were addressed.
not all the way--he has not yet succeeded in building a durable majority on the court.,2,let me know if you'd like more examples!
"it is difficult to fix precisely the dates of the various festivals, as most of them are determined by lunar calendars which vary from year to year.",0,the shifting nature of lunar calendars presents a challenge in establishing precise dates for most festivals.
oh that's great yeah yeah i don't do a whole it uh time seems to be hard to find for anything you want to do i don't know why,1,lack of available time is a common issue.
he said funding mechanisms such as small business grants were not always appropriate for researchers and wondered whether there were other funding mechanisms that might be more appropriate.,1,start_of_turn>model
"but even though suharto has been defeated, the real battle lines between economic and political liberalization are just now being drawn.",1,they focus on the potential connection between the two concepts without asserting a conclusive answer.
no i don't my my wife has been working with them,2,there's a significant business arrangement between my wife and them.
 the egg tilted and soared.,0,tart_of_turn>user
"surrounded by heavily industrialized suburbs, the old center of kurashiki has canals lined with dreamy willow trees a reverse comment on the horrors of war.",2,tart_of_turn>user
"161 ""no. ",0,the response is a denial.
"before function is compromised, problematic consumption occurs.",2,it's possible for the function to remain intact even with ongoing problematic consumption.
"but if you're not watching close ly, you may miss the unprepossessing bust of christopher columbus perched atop a column in a little roadside square.",1,the bust of christopher columbus is relatively small.
a flicker of firelight caught the small man's eyes.,2,the source of light illuminating the man's eyes was not fire.
oh when i had the uh cats at my place as soon as i took out the newspaper to read it they would plop right down on top of it and just not move and just stay there forever,0,the cats would happily remain on the newspapers for extended periods.
i see it in my dreams sometimes… .,2,**it never appears in my dreams.**
well well in our area we just introduced the um citywide uh clean king sport campaign and we have a recycling mascot called kleanaroo he's a kangaroo and um we're setting up curbside recycling bins for the city home owners and several of our local businesses also have recycling stations set up in their parking lots,2,tart_of_turn>user
all villas feature traditional 19th-century jamaican architecture for an authentic old world atmosphere.,2,traditional jamaican architecture is a defining characteristic of most villas.
charlotte square is arguably the jewel of the new town.,0,the area known as charlotte square is part of the new town district.
"for this reason, interest earned by revolving funds should normally be classified as exchange revenue.",1,a separate tax bracket exists for exchange revenues.
a flicker of firelight caught the small man's eyes.,2,"the man's vision was obstructed, preventing him from seeing any light."
that's right i mean the israeli's aren't they're not afraid of anything,0,start_of_turn>model
the preamble to the final rule discusses the comments received and the actions taken upon them.,0,the preamble to the final rule outlines the response to public input.
"these trends also contribute to a huge, longer-range fiscal and budgetary challenge facing the united states.",0,let me know if you'd like me to try generating more examples!
tim carvell's wrap-up,0,tart_of_turn>user
charlotte square is arguably the jewel of the new town.,0,charlotte square is a significant landmark within new town.
"this little corner of england is such a beautiful and valued region, however, that policy makers and conservationists have worked tirelessly over the last hundred years to protect it.",1,protecting this region of england has likely required significant financial resources from policymakers and conservationists.
all villas feature traditional 19th-century jamaican architecture for an authentic old world atmosphere.,2,start_of_turn>model
"but even though suharto has been defeated, the real battle lines between economic and political liberalization are just now being drawn.",1,*why these are neutral:**
"while service standards differ (many countries offer two mail deliveries each weekday, for example), even at 33 cents, u.s. prices compare favorably with first-class rates overseas--japan charges 74 cents, germany 59 cents, france 48 cents, and great britain 37 cents.",1,international mail rates vary considerably.
all villas feature traditional 19th-century jamaican architecture for an authentic old world atmosphere.,2,the villas strive to evoke a sense of history and tradition through their architecture.
"it swelled to the size of a football, then was man-sized, and growing to the size of a huge tank that filled most of the tent.",2,"it kept growing larger, eventually becoming even bigger than the tank described."
not all the way--he has not yet succeeded in building a durable majority on the court.,2,his positions have earned him the support of a lasting majority.
legal aid has uncomfortable company.,1,tart_of_turn>user
'what's it like to be back in louisian?',2,you're discovering new things about louisiana that you didn't expect.
i knew that.,0,i was aware of that before now.
oh that's great yeah yeah i don't do a whole it uh time seems to be hard to find for anything you want to do i don't know why,1,time management can be difficult when dealing with a busy work schedule.
a drop-ship discount might also evoke type-1 worksharing activity.,1,start_of_turn>model
tim carvell's wrap-up,0,a concluding segment by tim carvell was presented.
"this guide discusses the goals, success factors, and practices associated with building a worldclass finance organization.",2,this guide believes that world-class finance organizations are unnecessary and undesirable.
"in north carolina, a visa may be issued for six weeks to seven months.",2,a seven-month visa is the minimum length of time a visa issued in north carolina is valid for.
"for this reason, interest earned by revolving funds should normally be classified as exchange revenue.",1,let me know if you'd like more paraphrases!
people in hollywood accept this instability as the cost of doing business.,1,tart_of_turn>user
he said funding mechanisms such as small business grants were not always appropriate for researchers and wondered whether there were other funding mechanisms that might be more appropriate.,1,the use of grants for research initiatives may come at the expense of financial aid for businesses.
"the real british legacy is in the tea gardens, all indian-run, which offer a beautiful green setting for the town and insight into tea growing and processing methods .",1,"the legacy of the british in india is multifaceted, including the influence on tea cultivation."
"in north carolina, a visa may be issued for six weeks to seven months.",2,start_of_turn>model
how were discrepant findings resolved?,1,no conflicting results emerged.
grass became rock and rock became sand.,2,"the process of change involved rock turning into soil, not sand."
"this guide discusses the goals, success factors, and practices associated with building a worldclass finance organization.",2,following this guide will prevent the creation of a successful finance organization.
"but even though suharto has been defeated, the real battle lines between economic and political liberalization are just now being drawn.",1,let me know if you'd like more examples!
i'm exempt,0,start_of_turn>model
" ibiza town itself is not the place to go for the club scene, although dalt vila has a few gay bars and there is plenty of other entertainment available.",0,start_of_turn>model
absolute power was the dominant feature of what post-revolutionary france called the ancien r??gime.,0,tart_of_turn>user
people in hollywood accept this instability as the cost of doing business.,1,success in hollywood may come with the acceptance of  challenges and upheaval.
oh that's great yeah yeah i don't do a whole it uh time seems to be hard to find for anything you want to do i don't know why,1,some people struggle to find free time for their desired activities.
mr. hubbock also designed the masjid jamek.,1,start_of_turn>model
"but even though suharto has been defeated, the real battle lines between economic and political liberalization are just now being drawn.",1,tart_of_turn>user
absolute power was the dominant feature of what post-revolutionary france called the ancien r??gime.,0,france under the ancien r??gime was characterized by a powerful central government with limited checks on its authority.
i'm exempt,0,i am not subject to it.
"the real british legacy is in the tea gardens, all indian-run, which offer a beautiful green setting for the town and insight into tea growing and processing methods .",1,visitors to india can witness traditional tea cultivation and processing techniques.
 the egg tilted and soared.,0,the egg rotated and ascended quickly.
that hit him harder than any other discovery.,1,**he could expect further discoveries in the future.**
um-hum oh no i think yeah my son's just in day care but even that they have extracurricular activities and the older they get the more that you're involved in that,0,"even though my son is currently in daycare, we can expect increased involvement from me in extracurricular activities as he ages."
"it swelled to the size of a football, then was man-sized, and growing to the size of a huge tank that filled most of the tent.",2,"it started to shrink rapidly, eventually disappearing completely."
that hit him harder than any other discovery.,1,here are five paraphrases of the neutral  'there were other discoveries still yet to be made'
the preamble to the final rule discusses the comments received and the actions taken upon them.,0,let me know if you'd like more paraphrases!
"but even though suharto has been defeated, the real battle lines between economic and political liberalization are just now being drawn.",1,start_of_turn>model
"i must say ” ”"" but i stopped suddenly. ",0,"although i started to speak, i chose not to finish my sentence."
mls is major-league sport with minor-league charm.,0,"while mls is a major-league sport, it possesses a notable sense of warmth and intimacy often associated with minor leagues."
"a ritualistic mark of bravery for carib warriors was cannibalism, and it's for this that history most remembers the indians who invented the hammock and gave their name to the caribbean.",0,the act of cannibalism was essential for carib warriors to demonstrate their bravery.
"while service standards differ (many countries offer two mail deliveries each weekday, for example), even at 33 cents, u.s. prices compare favorably with first-class rates overseas--japan charges 74 cents, germany 59 cents, france 48 cents, and great britain 37 cents.",1,some countries utilize different methods for delivering mail.
"his kingdom prospered, and by the time his son solomon succeeded him, in about 965 b.c. , almost all the extensive, rich lands between the rivers nile and the euphrates were part of the kingdom of israel.",1,tart_of_turn>user
mr. hubbock also designed the masjid jamek.,1,mr. hubbock has a history of creating architectural plans.
"this guide discusses the goals, success factors, and practices associated with building a worldclass finance organization.",2,this guide offers advice on *avoiding* the processes required to create a world-class finance organization.
the man's right arm had been broken and completely twisted around.,0,"due to the break and twisting, the man's arm was hurt."
"but even though suharto has been defeated, the real battle lines between economic and political liberalization are just now being drawn.",1,the factors leading to suharto's defeat could include his weakening position.
mls is major-league sport with minor-league charm.,0,mls combines the excitement and prestige of major league competition with the charm and accessibility of smaller leagues.
"surrounded by heavily industrialized suburbs, the old center of kurashiki has canals lined with dreamy willow trees a reverse comment on the horrors of war.",2,the canals in kurashiki are a symbol of kurashiki's industrial strength and modern development.
"thus, i have never even touched a girl, much less kissed one.",2,tart_of_turn>user
i knew that.,0,let me know if you'd like more examples!
the preamble to the final rule discusses the comments received and the actions taken upon them.,0,start_of_turn>model
a drop-ship discount might also evoke type-1 worksharing activity.,1,employees often engage in conversations about their colleagues.
uh-hum probably you read a book review or something some kind of review on it,2,let me know if you'd like more examples!
"a ritualistic mark of bravery for carib warriors was cannibalism, and it's for this that history most remembers the indians who invented the hammock and gave their name to the caribbean.",0,let me know if you'd like more examples!
oh when i had the uh cats at my place as soon as i took out the newspaper to read it they would plop right down on top of it and just not move and just stay there forever,0,let me know if you'd like more examples!
yeah there there's a lot of energy i i i like to belly dance too but there's not the same you know you don't get the aerobic,1,start_of_turn>model
a flicker of firelight caught the small man's eyes.,2,the statement describes something unrelated to the man's vision or surroundings.
"this little corner of england is such a beautiful and valued region, however, that policy makers and conservationists have worked tirelessly over the last hundred years to protect it.",1,financial investments would likely have been necessary for policymakers and conservationists to protect this valued corner of england.
"the critical instance case study examines one, or very few, sites for one of two purposes.",1,"while examining a limited number of sites, a critical instance case study might serve two separate purposes."
 the egg tilted and soared.,0,the egg shifted its angle and rose into flight.
"while service standards differ (many countries offer two mail deliveries each weekday, for example), even at 33 cents, u.s. prices compare favorably with first-class rates overseas--japan charges 74 cents, germany 59 cents, france 48 cents, and great britain 37 cents.",1,postal services operate under varying structures globally.
"it might well, however, facilitate gay couples' efforts to adopt children.",1,the process of enacting the bill could potentially affect the adoption rate for gay couples.
he said funding mechanisms such as small business grants were not always appropriate for researchers and wondered whether there were other funding mechanisms that might be more appropriate.,1,funding researchers through grants could impact the availability of capital for businesses.
no not really you know in the last few years just his kind of informal segments i've seen but i never got to see his actual nightly news i liked i i did grow up with david brinkley,0,tart_of_turn>user
yes we we sure do smoke them and,0,let me know if you'd like more paraphrases!
i see it in my dreams sometimes… .,2,start_of_turn>model
"a ritualistic mark of bravery for carib warriors was cannibalism, and it's for this that history most remembers the indians who invented the hammock and gave their name to the caribbean.",0,tart_of_turn>user
oh that's great yeah yeah i don't do a whole it uh time seems to be hard to find for anything you want to do i don't know why,1,scheduling conflicts can arise when one works overtime.
"no definitive number of americans who went over to the enemy is available, but moorer indicated there were scores.",1,start_of_turn>model
"i must say ” ”"" but i stopped suddenly. ",0,tart_of_turn>user
'what's it like to be back in louisian?',2,tart_of_turn>user
"while service standards differ (many countries offer two mail deliveries each weekday, for example), even at 33 cents, u.s. prices compare favorably with first-class rates overseas--japan charges 74 cents, germany 59 cents, france 48 cents, and great britain 37 cents.",1,there are diverse approaches to mail service around the world.
"this guide discusses the goals, success factors, and practices associated with building a worldclass finance organization.",2,this guide is specifically designed for individuals *uninterested* in building a world-class finance organization.
 the egg tilted and soared.,0,the egg changed position and launched upwards.
"while service standards differ (many countries offer two mail deliveries each weekday, for example), even at 33 cents, u.s. prices compare favorably with first-class rates overseas--japan charges 74 cents, germany 59 cents, france 48 cents, and great britain 37 cents.",1,"the original  makes a judgment about the *quality* of mail systems (""better""). the neutral paraphrases simply state factual differences in systems or costs without implying superiority."
humidity or something,2,humidity is completely irrelevant to the situation.
"in north carolina, a visa may be issued for six weeks to seven months.",2,"visas in north carolina are only issued for a limited period of time, never exceeding six weeks."
that's right i mean the israeli's aren't they're not afraid of anything,0,tart_of_turn>user
" ibiza town itself is not the place to go for the club scene, although dalt vila has a few gay bars and there is plenty of other entertainment available.",0,gay bars are a type of entertainment available in dalt vila.
no i don't my my wife has been working with them,2,my wife is actively participating in a project with them.
"the new  deterring nuclear, biological, or chemical warfare by lesser powers (formalizing president bush's implicit warning to saddam hussein during the gulf war).",2,start_of_turn>model
grass became rock and rock became sand.,2,"grass has always been grass, and rock has always been rock."
"the real british legacy is in the tea gardens, all indian-run, which offer a beautiful green setting for the town and insight into tea growing and processing methods .",1,tart_of_turn>user
"it is difficult to fix precisely the dates of the various festivals, as most of them are determined by lunar calendars which vary from year to year.",0,"because lunar calendars are not fixed, it is hard to establish an exact date for a majority of the festivals."
the man's right arm had been broken and completely twisted around.,0,tart_of_turn>user
