premise,label,hypothesis
"lesvos, chios, and samos still have many vestiges of the traditional rural lifestyle that made them rich and coveted during previous centuries.",1,"'lesvos, chios, and samos continue to carry remnants of the traditional rural life style that attracted attention in earlier centuries.'"
11 this is a midlife crisis.,0,'the individual is in the throes of a significant midlife episode.'
the on-premises bindery repairs and restores old books and manuscripts.,1,'there might be instances where the bindery repairs books that are not old or manuscripts.'
when you get to the point where you're looking forward to it then it gets to be important because you've got to do some planning for it uh you know especially if the company is not doing it for you,2,it would be more efficient if the company handled it by itself.
"so i can't even imagine how you feel, after shadow-dancing with her for so long.",1,"after all the shadow-dancing you've done with her, i can't even fathom the feelings you're experiencing."
"on one side of midosuji is america-mura, the favorite posing ground for osaka's desperately trendy youth, so named for the large number of stores selling much-sought-after secondhand apparel imported from the us.",2,"'the trendy youth of osaka find america-mura to be an unattractive spot, with its abundance of mochi cafes.'"
"this area is not just for pilgrims, however; it is also for those in search of the great outdoors, whether for sports activities or simply hiking.",2,the area is strictly for pilgrims only.
very dangerous.,2,'extremely safe.'
he left us shortly after.,2,'he was a constant presence with us.'
it is disingenuous to say we should do  money is scarce and so is political capital.,2,the assertion that money and political capital are not limited is untruthful.
i'm sure he will he's not going to have problems there if not in the nfl then in one of the other leagues,0,"'it's very probable that he will find a place in a league, whether it's the nfl or another, to play football.'"
"about 2 km (1 mile) south?­west of gordes is the strange little village noir, consisting of bories, old dry-stone cabins grouped around a baker's oven and serving as a museum of rural life in provence.",2,'old dry-stone cabins are not grouped around a baker's oven in the village noir.'
oh yeah he was so excited about going,1,yesterday's conversation with him revealed his eagerness about heading to work at the agency.
well i it i find it depressing to watch or especially tv you know it's  uh local news concentrates on murders and things like that i'm from dallas,1,"i find the news, especially the local news, to be depressing due to their coverage of murders."
it's like oh man,1,i appear to have created a difficult situation for myself.
"culterlann na hireann holds a ceile (an evening of traditional song and dance), on friday nights in monkstown.",0,the traditional song and dance event happens every friday night at culterlann na hireann in monkstown.'
"yes, i think that would be decidedly better.",1,a marked enhancement is expected.
"the bias continues in the united states, sometimes from the larger mexican mainstream.",0,the united states displays bias towards the mexican mainstream at times.'
they kept asking about the noise i heard.,0,they were inquiring extensively about the noise.
these statutes are laws that comprise the letter mail monopoly.,1,'the laws referred to define the rules of the mail monopoly.'
"award winner kathleen t. zellner of naperville, ill.'s zellner and; associates secured the release of three men sentenced to life for the 1986 rape of a chicago medical student.",1,'zellner and associates were instrumental in bringing about the freedom of three convicted men who were allegedly innocent.'
"usually, clinton finds a way to reconcile the presidential and the political.",0,clinton is renowned for handling the challenges of bridging presidential and political differences.
no one is going to better him in this area.,0,'no other contender can outperform him in this specific aspect.'
"to meet the family's extravagant debts, ground-floor rooms were turned into boutiques and cafe that attracted fashionable society, together with some shady hangers-on and intellectuals.",0,the transformation of rooms into boutiques and cafes enticed sophisticated patrons.
"a company of handweavers has been working here since at least 1723, and visitors are able to watch them at work, but their products have become less distinctive since they expanded into a popular tourist attraction.",2,"'while the company of handweavers was established here in   , they have recently ceased their operations.'"
"yes, i think that would be decidedly better.",1,a considerable upgrade is on the horizon.
"to meet the family's extravagant debts, ground-floor rooms were turned into boutiques and cafe that attracted fashionable society, together with some shady hangers-on and intellectuals.",0,the newly established businesses brought in elite social entities.
oh yeah he was so excited about going,1,"during our conversation yesterday, there was clear excitement from him regarding work at the agency."
"recent archaeological findings suggest that a site on the yamuna river may have been the home of mahabharata hero, yudhishthira, dating back to 1000 b.c.",0,evidence from recent archaeological findings points towards yudhishthira once living by the yamuna river.
down there and uh we had a small um farm house out in castroville which is just uh to the west of san antonio,1,"in castroville, west of san antonio, we owned a small farmhouse that was our humble home."
11 this is a midlife crisis.,0,'this instance represents a classic midlife crisis.'
wait a minute.,2,'wait for an hour and a half.'
"after the break-up of the mauryan empire, new invaders appeared on the northwest frontier.",2,"'the mauryan empire expanded, effectively pushing invaders away from its northwest frontier.'"
"'all right,' i said.",2,each of these paraphrased hypotheses convey the opposite meaning of 'i told them no.' but are stated in a different way to maintain grammatical coherence with the example format provided.
wait a minute.,2,'stand by for a moment.'
"in the on-field tournament, the vikings have the nfl's best record this year and set a record for points scored in a regular season, but the broncos are the defending champs and were undefeated until their final three games.",1,the vikings could potentially secure the super bowl victory in the current year.
some evidence from public records is suggestive.,1,'certain documents suggest a possible misuse.'
a discussion about that is why uh why cnn was well i listen to a christian radio station and they were saying that cnn is definitely a world uh news service and uh,0,'cnn's global news service was the topic of conversation on the christian radio i tuned in to.'
their conversations took place at precisely the moment the house reconsidered china mfn.,2,'their conversations started before the house even began to reconsider china mfn.'
it tracks the use of each appropriation for specified purposes in separate budget accounts through the various stages of budget execution from appropriation to apportionment and allotment to obligation and eventual outlay.,1,cost calculation is integrated within the various stages of budget execution.
"rhonda lipkin (maryland), victor geminiani (hawaii), nan heald (maine) and mike genz (lsc) presented this session.",0,rhonda lipkin was born in the state of maryland.
"in the on-field tournament, the vikings have the nfl's best record this year and set a record for points scored in a regular season, but the broncos are the defending champs and were undefeated until their final three games.",1,there is a possibility that the viking team will triumph in the super bowl.
down there and uh we had a small um farm house out in castroville which is just uh to the west of san antonio,1,"our small farmhouse, situated in castroville to the west of san antonio, was a home we adored living in."
the factual record provides an important context for consideration of the legal question of the meaning of the presence requirement for representation by lsc grantees.,0,the factual account plays a vital role in comprehending the legal implications of the presence requirement for lsc grantees.
"this structure, like yomeimon, is also a national treasure and just as ornately carved and painted.",1,"'exhibiting similar levels of artistic craftsmanship, this structure and the yomeimon share distinction as national treasures, each boasting intricate carvings and paintings.'"
"'all right,' i said.",2,i signified acceptance.
"usually, clinton finds a way to reconcile the presidential and the political.",0,clinton often finds a satisfactory solution for reconciling presidential duties and politics.
i'm sure he will he's not going to have problems there if not in the nfl then in one of the other leagues,0,"'if he's not joining the nfl, he will still have a career as a football player in another league.'"
"this is the least interesting part of what was once the largest system of fortifications in the world, and in any case you can't get in to see it.",2,"'the fortifications in question are not only open to the public, but they are accessible for   hours a day.'"
a discussion about that is why uh why cnn was well i listen to a christian radio station and they were saying that cnn is definitely a world uh news service and uh,0,'i listened to a christian radio station to hear about the reasons that make cnn a world news service.'
he left us shortly after.,2,'he continued to be a member of our group.'
"it sits in the east of the country, 5-km (3-miles) south of the estuary of the river forth and 605-km (378-miles) north of london, the capital of the united kingdom.",0,'it is situated in a direction opposite to that of london.'
"his name has been floated in the past few weeks, as it was in 1989 and 1994.",0,"'his name has been brought up again, previously in    and   . '"
it tracks the use of each appropriation for specified purposes in separate budget accounts through the various stages of budget execution from appropriation to apportionment and allotment to obligation and eventual outlay.,1,calculating the cost is an integral part of budget execution.
limitations on total emissions. ,2,'there are no bounds for emissions.'
uh in fact uh there was one lady in this area she was caught going to work and leaving her daughter in her car all day,0,'the lone woman spotted in the region was seen leaving her daughter in her car as she went to work.'
11 this is a midlife crisis.,0,'this situation suggests a period of confusion and change that is typical of a midlife crisis.'
these statutes are laws that comprise the letter mail monopoly.,1,'these statutes are integral to the regulations governing mail delivery.'
down there and uh we had a small um farm house out in castroville which is just uh to the west of san antonio,1,"we had a small farmhouse out in castroville, located west of san antonio, where we loved residing."
"about 2 km (1 mile) south?­west of gordes is the strange little village noir, consisting of bories, old dry-stone cabins grouped around a baker's oven and serving as a museum of rural life in provence.",2,"'village noir is not made of bories, but rather of mud huts.'"
"lesvos, chios, and samos still have many vestiges of the traditional rural lifestyle that made them rich and coveted during previous centuries.",1,"'the islands of lesvos, chios, and samos preserve aspects of their traditional rural lifestyle from past centuries.'"
a pointless act.,1,'the deed didn't have any point.'
"on one side of midosuji is america-mura, the favorite posing ground for osaka's desperately trendy youth, so named for the large number of stores selling much-sought-after secondhand apparel imported from the us.",2,'the crowd in america-mura mostly consists of elderly citizens enjoying their morning coffee rather than the fashion-conscious youth.'
when you get to the point where you're looking forward to it then it gets to be important because you've got to do some planning for it uh you know especially if the company is not doing it for you,2,it's preferable not to put in any effort for it and let the company take care of it.
some evidence from public records is suggestive.,1,'public records display signs of potential discrepancies.'
'you asked for a two week deadline?',0,"""i proposed a deadline of two weeks for the task."""
some evidence from public records is suggestive.,1,'various pieces of evidence found in public records indicate a questionable activity.'
"after the break-up of the mauryan empire, new invaders appeared on the northwest frontier.",2,"'the mauryan empire remained strong following its break-up, keeping invaders at bay on its northwest frontier.'"
wait a minute.,2,'give me a second.'
oh yeah he was so excited about going,1,he excitedly discussed his upcoming work at the agency during our conversation yesterday.
well  he didn't have too good of opinion of it no i mean yes i did hear that and so um i do try to keep that in mind that whenever you're reading a paper it usually has a particular flavor,0,his opinion towards it was less than favorable.
it's like oh man,1,i find myself in quite a predicament.
"culterlann na hireann holds a ceile (an evening of traditional song and dance), on friday nights in monkstown.",0,"a ceile is held on fridays at culterlann na hireann in monkstown, which involves traditional song and dance.' (this one is more direct)"
"in the on-field tournament, the vikings have the nfl's best record this year and set a record for points scored in a regular season, but the broncos are the defending champs and were undefeated until their final three games.",1,it is possible that the vikings will win the super bowl this season.
'you asked for a two week deadline?',0,"""i have put forth a proposal for a project duration of two weeks."""
he left us shortly after.,2,"'his absence was brief, he returned soon after.'"
"it sits in the east of the country, 5-km (3-miles) south of the estuary of the river forth and 605-km (378-miles) north of london, the capital of the united kingdom.",0,"'the capital city of the united kingdom, london, lies south of the given location.'"
"rooms 11-12 concentrate on the period between 1100 b.c. and 650 b.c., including a large collection of gold jewelry.",2,"in rooms  - , the focus is primarily on agricultural exhibits from the  th century, not on the period between    b.c. and   b.c. or gold jewelry."
their conversations took place at precisely the moment the house reconsidered china mfn.,2,'their deliberations about china mfn. happened after the house had already reconsidered.'
"rhonda lipkin (maryland), victor geminiani (hawaii), nan heald (maine) and mike genz (lsc) presented this session.",0,"lipkin, a resident of maryland, presented in the session."
their conversations took place at precisely the moment the house reconsidered china mfn.,2,'their discussions took place months before the house reconsidered china mfn.'
"the roman baths are still impressive with several large bathing areas, though the hot curative waters have been diverted to a modern pool and spa.",0,the healing waters of the roman baths are no longer supplied directly to the bathing areas but are diverted to a modern pool and spa.
it is disingenuous to say we should do  money is scarce and so is political capital.,2,it is not honest to say that there is no shortage of money and political capital.
some evidence from public records is suggestive.,1,'evidence gathered from public documents indicates a possible hidden issue.'
very dangerous.,2,'positively harmless.'
wait a minute.,2,'hold on for a few minutes.'
"about 2 km (1 mile) south?­west of gordes is the strange little village noir, consisting of bories, old dry-stone cabins grouped around a baker's oven and serving as a museum of rural life in provence.",2,'gordes is not located about  km ( mile) south-west of village noir.'
uh in fact uh there was one lady in this area she was caught going to work and leaving her daughter in her car all day,0,"'in the given area, a solitary lady was observed leaving her child in the car while she worked.'"
"yes, i think that would be decidedly better.",1,the other choice pales in comparison.
lower debt levels lead to lower interest payments-possibly at lower interest rates.,1,diminished levels of debt reduce the amount of interest to be paid.
"his name has been floated in the past few weeks, as it was in 1989 and 1994.",0,"'recent discussions have revisited the topic of his name, previously discussed in    and   . '"
"well, then?",1,"""can you clarify the level or amount involved?"""
"rooms 11-12 concentrate on the period between 1100 b.c. and 650 b.c., including a large collection of gold jewelry.",2,"room  -  does not contain resources relating to the early civilizations period or gold jewelry; instead, they present exhibits on agricultural topics from the  th century."
when you get to the point where you're looking forward to it then it gets to be important because you've got to do some planning for it uh you know especially if the company is not doing it for you,2,there's no need for personal planning when the company is responsible.
very dangerous.,2,'absolutely risk-free.'
a discussion about that is why uh why cnn was well i listen to a christian radio station and they were saying that cnn is definitely a world uh news service and uh,0,'they discussed why cnn is indeed a global news service after listening to a christian radio station.'
very dangerous.,2,'purely benign.'
"so i can't even imagine how you feel, after shadow-dancing with her for so long.",1,your feelings after spending so much time shadow-dancing with her remain a mystery to me.
"so i can't even imagine how you feel, after shadow-dancing with her for so long.",1,"following your extended shadow-dancing session with her, it's hard to know what you could be feeling."
it's like oh man,1,i can't help but feel i've landed myself in a challenging circumstance.
"'all right,' i said.",2,i expressed approval.
lower debt levels lead to lower interest payments-possibly at lower interest rates.,1,it's possible that reduced debt results in a smaller amount of interest paid.
oh yeah he was so excited about going,1,"i had a conversation with him yesterday, and he was quite enthusiastic about his work at the agency."
"'all right,' i said.",2,i gave consent.
it is disingenuous to say we should do  money is scarce and so is political capital.,2,to state that there is no scarcity in money and political capital is disingenuous.
"it sits in the east of the country, 5-km (3-miles) south of the estuary of the river forth and 605-km (378-miles) north of london, the capital of the united kingdom.",0,'the provided location lies in a region which is further north than london.'
their conversations took place at precisely the moment the house reconsidered china mfn.,2,'their conversations occurred a week before the house reconsidered china mfn.'
"this is the least interesting part of what was once the largest system of fortifications in the world, and in any case you can't get in to see it.",2,"'despite being the least interesting part, one can gain entry to this specific sector of the world's largest fortification system and spend   hours there.'"
the factual record provides an important context for consideration of the legal question of the meaning of the presence requirement for representation by lsc grantees.,0,the record is a critical element when considering the legal question regarding the presence requirement for lsc grantees.
no one is going to better him in this area.,0,'he cannot be surpassed in this domain.'
these statutes are laws that comprise the letter mail monopoly.,1,'the laws mentioned here form the legislative base for the mail sending sector.'
well you can believe that anyway right,2,you can absolutely take that as true.
"rooms 11-12 concentrate on the period between 1100 b.c. and 650 b.c., including a large collection of gold jewelry.",2,"contrary to the information given, rooms  -  primarily showcase exhibits related to  th-century agriculture, rather than the specified period."
a discussion about that is why uh why cnn was well i listen to a christian radio station and they were saying that cnn is definitely a world uh news service and uh,0,"'listening to a christian radio station, i found out that the reasons for cnn being a global news service were discussed.'"
"throughout the controversy, bennett has made much of the cause of truth with a capital t. his standard article, portentously titled clinton, gays, and the truth, accused the clintonites of scanting that important commodity.",2,"'in contrast to what is commonly believed, bennett's article, titled 'clinton, gays, and the untruth', did not focus on the idea of truth with a capital t during the controversy.'"
11 this is a midlife crisis.,0,'this person is experiencing a crisis associated with middle age.'
"a company of handweavers has been working here since at least 1723, and visitors are able to watch them at work, but their products have become less distinctive since they expanded into a popular tourist attraction.",2,"'once upon a time, a company of handweavers operated here from   , yet they are now no longer in business.'"
no  and so and and my boss has has gone for about like three times i think and i told him he's obviously in a high risk group,1,"since he often disappears around three times, my boss is placed in a high-risk category."
"recent archaeological findings suggest that a site on the yamuna river may have been the home of mahabharata hero, yudhishthira, dating back to 1000 b.c.",0,"based on recent archaeological findings, it is hypothesized that yudhishthira, a mahabharata hero, may have inhabited a site on the yamuna river."
lower debt levels lead to lower interest payments-possibly at lower interest rates.,1,a lower debt amount causes a reduction in the interest payments.
"his name has been floated in the past few weeks, as it was in 1989 and 1994.",0,"'he gained notoriety in the past, with his name resurfacing recently and also mentioned in    and   . '"
they kept asking about the noise i heard.,0,they showed a great deal of interest in the noise through their questions.
no one is going to better him in this area.,0,'his performance is unparalleled in this particular domain.'
"in effect, the grant challenges mals to raise at least $100,000 a year in 2003 and 2004.",1,'the grant demanded that mals raise over $    in both    and   .'
"usually, clinton finds a way to reconcile the presidential and the political.",0,clinton's leadership style consistently involves reconciling presidential and political demands.
"this structure, like yomeimon, is also a national treasure and just as ornately carved and painted.",1,"'both this structure and the yomeimon are adorned with equally ornate carvings and paintings, and they are both considered national treasures.'"
"the roman baths are still impressive with several large bathing areas, though the hot curative waters have been diverted to a modern pool and spa.",0,the water from the roman baths is now servicing a modern pool and spa.
down there and uh we had a small um farm house out in castroville which is just uh to the west of san antonio,1,"our farmhouse in castroville, to the west of san antonio, was small but it brought us great joy to live there."
an indio name? ,0,is an indio person's name being sought?
"this area is not just for pilgrims, however; it is also for those in search of the great outdoors, whether for sports activities or simply hiking.",2,this area is exclusively for pilgrims.
"so i can't even imagine how you feel, after shadow-dancing with her for so long.",1,the experience of shadow-dancing with her for so long has likely taken a toll on you.
"recent archaeological findings suggest that a site on the yamuna river may have been the home of mahabharata hero, yudhishthira, dating back to 1000 b.c.",0,the findings from a recent archaeological excavation seem to indicate that the ancient hero yudhishthira might have established his residence on the banks of the yamuna river.
yeah oh that sounds fantastic,2,'that sounds absolutely terrible.'
well  he didn't have too good of opinion of it no i mean yes i did hear that and so um i do try to keep that in mind that whenever you're reading a paper it usually has a particular flavor,0,it didn't receive his approval.
"kinda nippy, ain't it? anse said.",1,anse remarked that the weather was brisk.
"in effect, the grant challenges mals to raise at least $100,000 a year in 2003 and 2004.",1,'mals were tasked with earning a minimum of $    per year in the years    and   .'
"in effect, the grant challenges mals to raise at least $100,000 a year in 2003 and 2004.",1,'mals were put under pressure to gather at least $    a year during the years    and   .'
"lsc has contracted with an independent research firm to develop and implement a pilot project at six lsc grantees that will gather the necessary information needed to create a reporting system that captures all the work of lsc grantees, not simply the traditional closed cases.",2,'the pilot project at lsc grantees will not collect any necessary information.'
"throughout the controversy, bennett has made much of the cause of truth with a capital t. his standard article, portentously titled clinton, gays, and the truth, accused the clintonites of scanting that important commodity.",2,"'throughout the dispute, bennett has not been stressing the significance of truth with a capital t in his article, 'clinton, gays, and the untruth'.'"
"his name has been floated in the past few weeks, as it was in 1989 and 1994.",0,"'it's been a while since his name has been in the spotlight, but mentions of him go as far back as    and   . '"
"kinda nippy, ain't it? anse said.",1,"it was observed that it was cold, as per anse's statement."
i'm sure he will he's not going to have problems there if not in the nfl then in one of the other leagues,0,"'it's highly likely that his football career will continue in a league, whether it's the nfl or another one.'"
"after the break-up of the mauryan empire, new invaders appeared on the northwest frontier.",2,"'in the aftermath of the mauryan empire's break-up, there was a brief period of peace on its northwest frontier.'"
"lesvos, chios, and samos still have many vestiges of the traditional rural lifestyle that made them rich and coveted during previous centuries.",1,"'the traditional rural way of life in lesvos, chios, and samos continues to be a valuable relic from bygone eras.'"
they kept asking about the noise i heard.,0,they bombarded me with questions regarding the noise.
"yes, i think that would be decidedly better.",1,that would be significantly improved compared to the other option.
"lesvos, chios, and samos still have many vestiges of the traditional rural lifestyle that made them rich and coveted during previous centuries.",1,"'to this day, the rural lifestyle of lesvos, chios, and samos remains a testament to the wealthy and sought-after existence of previous time periods.'"
very dangerous.,2,'entirely secure.'
it is disingenuous to say we should do  money is scarce and so is political capital.,2,it is insincere to claim that money and political capital are abundant.
