premise,hypothesis,label
mr. hubbock also designed the masjid jamek.,mr. hubbock designed a number of buildings.,1
oh that's great yeah yeah i don't do a whole it uh time seems to be hard to find for anything you want to do i don't know why,"i've been so busy with working overtime, i just haven't had the time.",1
how were discrepant findings resolved?,there were no discrepant findings.,1
that hit him harder than any other discovery.,there were other discoveries still yet to be made.,1
grass became rock and rock became sand.,grass never changes its form.,2
not all the way--he has not yet succeeded in building a durable majority on the court.,he got the majority!,2
no i don't my my wife has been working with them,my wife has been playing with them,2
a flicker of firelight caught the small man's eyes.,the man could see the sunlight out of the corner of his eye. ,2
uh-hum probably you read a book review or something some kind of review on it,you didn't read anything about it.,2
"in north carolina, a visa may be issued for six weeks to seven months.",north carolina is the only state in the us that does not issue visas at all. ,2
'what's it like to be back in louisian?',everything is the same in louisian.,2
well well in our area we just introduced the um citywide uh clean king sport campaign and we have a recycling mascot called kleanaroo he's a kangaroo and um we're setting up curbside recycling bins for the city home owners and several of our local businesses also have recycling stations set up in their parking lots,the local businesses did not want to take part in the campaign.,2
"the new  deterring nuclear, biological, or chemical warfare by lesser powers (formalizing president bush's implicit warning to saddam hussein during the gulf war).",president bush had applauded saddam huessein about his tactics.,2
i see it in my dreams sometimes… .,it never appears in my dreams. ,2
"all is forgiven when tarzan (the voice of tony goldwyn) meets minnie driver--i mean, jane.",when tarzan meets jane there is chaos.,2
"it swelled to the size of a football, then was man-sized, and growing to the size of a huge tank that filled most of the tent.","it started shrinking, to the point the nobody was able to even see it on the ground.",2
the federal cio is also subject to a funding process that is more complex and uncertain than in most other organizations.,the federal cio is not subject to anything.,2
they are not important. ,they are of the utmost importance.,2
all villas feature traditional 19th-century jamaican architecture for an authentic old world atmosphere.,"the jamaican villas cast their old world heritage aside, creating a modern atmosphere with contemporary american architecture. ",2
"surrounded by heavily industrialized suburbs, the old center of kurashiki has canals lined with dreamy willow trees a reverse comment on the horrors of war.",kurahiki is one of the few surrounding areas without canals.,2
"before function is compromised, problematic consumption occurs.",function will be compromised long before any problematic consumption takes place. ,2
"thus, i have never even touched a girl, much less kissed one.","thus, i have touched and kissed many girls before.",2
humidity or something,it's certainly not humidity.,2
"this guide discusses the goals, success factors, and practices associated with building a worldclass finance organization.",this guide is not for those interested in building a world class financial organization.,2
