label,text
0,sudan talks end in deadlock on humanitarian issues darfur rebels and the sudanese government ended peace talks on sunday in nigeria in a deadlock on how to address what the united nations has called the world #39;s worst humanitarian crisis.
0,"london ex-policeman sentenced for spying a judge sentenced a former london police officer to 2 1/2 years in prison monday for spying on saudi dissidents and others in britain in exchange for \$25,000 from a diplomat representing saudi arabia."
0,italy races to save hostages before deadline (reuters) reuters - italian foreign minister franco frattini\appealed to arab countries on monday to help win the release of\two italian hostages as an apparent deadline to kill them drew\near.
0,thatcher lawyers mull equatorial guinea interview request south african lawyers acting for mark thatcher will meet on tuesday to discuss a request from equatorial guinea to question their client on suspicion that he helped finance a coup plot in the oil-rich country.
0,"strategy for partnership with the european unions (eu) expansion to 25 countries, it now accounts for 28 of world gdp and a market of 450 million. that closer commercial relationships with eu are desirable is obvious."
0,"n.y. woman doubts getting early release from peruvian prison cajamarca, peru -- lori berenson, the 34-year-old new yorker jailed in peru for collaboration with marxist guerrillas, holds little hope that an expected international court ruling in her favor will get her out of prison before she turns 45."
0,peace talks for sudan #39;s darfur collapse sudan #39;s rebels and government broke off internationally brokered peace talks for the bloodied darfur region wednesday after three weeks with little progress and no deal.
0,"16 killed in algeria rebel attack (reuters) reuters - suspected algerian islamic\militants killed 16 people in the first attack on civilians\since the start of the holy month of ramadan, officials said on\saturday."
1,"arsenal, facing rosenborg in europe, loses gilberto (update1) arsenal midfielder gilberto silva will miss the team #39;s second champions league group game against norwegian champion rosenborg on wednesday with a back injury, ruling him out for at least a month."
1,"storm game at a glance player of the game: playing with a broken nose, seattle point guard sue bird set a wnba playoff record for assists with 14, also pumping in 10 points as the storm claimed the western conference title last night."
1,"johnson bound for yankees: report cbc sports online - the arizona diamondbacks, who made a big splash before and during baseball #39;s winter meetings, soon could be facing life without the big unit."
1,"emphasis on turnover margin pays off big for teams such as usc usc is the country #39;s top-ranked team, in no small part due to its fetish for the football. it #39;s apparent in everything from t-shirts the program special ordered for players -- which read  quot;it #39;s all about the "
1,"bears waive gandy, activate colombo chicago bears offensive lineman mike gandy was waived monday after starting five games for the team this season and 30 over the past three seasons."
1,"a double-up game colts.com. if a certain game is important for a certain reasons, the colts head coach will discuss the matter with his team early in the week."
1,"athens track set for sizzling men's 100 (ap) ap - the preliminaries in the 100 meters were perhaps just a sample of what's to come sunday, when a talented group of qualifiers  #151; including americans shawn crawford, justin gatlin and defending champion maurice greene  #151; will try to turn their competition into the fastest show at the athens games."
1,"vijay takes win in stride norton -- most people will look back on the final round of the 2004 deutsche bank championship and think,  quot;wasnt that poetic quot; -- vijay singh overtakes tiger woods in the world rankings by beating him head-to-head on the golf course."
1,"renault determined to quit f1  quot;we have not reached an agreement with bernie ecclestone, and we are absolutely not ready to accept that there is not a better redistribution among the teams of the money generated by f1, quot; faure said."
1,"no. 13 louisville holds off florida 74-70 (ap) ap - taquan dean scored 22 points, francisco garcia added 19 and no. 13 louisville withstood a late rally to beat florida 74-70 saturday. rick pitino improved to 20-1 against former assistant coaches and players and extended his record to 6-0 against billy donovan."
1,athletics: crying shame for radcliffe as marathon dream dies in &lt;b&gt;...&lt;/b&gt; athens - paula radcliffe #39;s entrance to the panathinaiko stadium was not supposed to have been like this. for four years she has dreamed of setting the final garland on an honour-strewn career by arriving at 
1,"arakawa sits first; pairs team fifth nagoya, japan (ap-cp) - world champion shizuka arakawa of japan overcame a case of jitters and a new pair of skates friday to win the women #39;s short program at the nhk trophy figure skating competition."
1,montgomerie picked for ryder cup team colin montgomerie #39;s toughest year on and off the golf course took a turn for the better sunday when he was chosen by european captain bernhard langer to play in his seventh ryder cup.
1,caldwell confident despite injury woes gary caldwell insists he is confident scotland can overcome their injury problems to secure the right results against norway and moldova.
1,"""monday night football"" ratings down (ap) ap - green bay's win over carolina in the first game of the season on abc's ""monday night football,"" was the second-most watched prime-time show of the week, trailing only nbc's debut episode of the ""friends"" spinoff ""joey."""
1,"europe: vieira sent off: wins for england, italy england lifted the pressure off the shoulders of coach sven-goran eriksson on wednesday after a 2-1 world cup qualifying victory over poland."
1,"nba to experiment with 3-point rules in nbdl new york (sportsticker) - the nba appears determined to lessen the impact of the 3-pointer. first, it will test out the change in the national basketball development league."
1,"mlb: los angeles 4, st. louis 0 jose lima had a five-hit shutout and shawn green two homers saturday as los angeles stayed in its nl division series by beating st."
1,"hopkins has done things his way for the fight of his life, undisputed middleweight champion bernard hopkins chose some music that says something about his life. when he enters the ring saturday to face oscar de la hoya, it won #39;t be to pulsating rap."
1,"back at it the 49ers returned to the practice field monday morning, and linebacker derek smith was there with them. that alone is very good news for a defense that also could have right end andre carter back in action "
2,"us jobless claims up, consumption flat (reuters) reuters - u.s. claims for jobless benefits\jumped last week, while consumer spending was unexpectedly flat\in august as shoppers closed their wallets after splashing out\the previous month, the government said on thursday."
2,"mcdonald #39;s taps destiny #39;s child company names female pop trio new face of marketing campaign to expand appeal among kids, moms. los angeles (reuters) - mcdonald #39;s corp."
2,"states #39; pocketbooks are fuller, but health costs stall recovery the fiscal condition of the states improved this year, but soaring health costs have made it difficult for them to recover from the worst fiscal crisis in six decades, the national governors association said thursday."
2,barclays takes look at absa barclays said thursday that it was in  quot;early stage quot; talks about buying control of south africa #39;s absa group for at least \$3 billion in what would be its largest purchase outside britain.
2,"expert: russian oil exports may decrease oil exports from russia - the world #39;s second-largest oil producer - may decrease within two years, a top russian oil industry expert warned tuesday."
2,"delta arranges up to \$600m in financing the other \$500 million will be in the form of prepayment for skymiles, delta #39;s frequent flier points. american. express issues a delta credit card that awards skymiles."
2,greenback gains on euro even as us economy slips the us dollar climbed against the euro after some traders abandoned bets that a slowdown in growth reflected in economic reports this week would push the us currency to a one-month low.
2,"not a pretty picture for avon, stock down  new york (reuters) - avon products inc. &lt;a href=""http://www.investor.reuters.com/fullquote.aspx?ticker=avp.n target=/stocks/quickinfo/fullquote""&gt;avp.n&lt;/a&gt;, the  world's largest direct seller of cosmetics, on wednesday  forecast a slide of as much as 10 percent in u.s. operating  profit as it grapples with weaker sales of key beauty items."
2,anticipation builds for dreamworks ipo dreamworks animation #39;s initial public offering scheduled thursday may benefit from the company #39;s recent box-office success.
2,"the coming week: fed focus the action should come fast and furious, with retail sales figures kicking off monday morning and a federal reserve event grabbing traders #39; attention tuesday."
2,"update: woolworths profit up 12; ceo departure delayed sydney (dow jones)--australian retail heavyweight woolworths ltd. (wow.au) monday said annual net profit rose 12 to a\$731 million, and predicted solid growth this "
2,"dollar plunges to record low against euro  new york (reuters) - the dollar dropped to record lows  against the euro on friday, succumbing to negative sentiment  and erasing all of the u.s. currency's earlier gains following  a robust u.s. october employment report."
2,"stocks fall on security, earnings worries  new york (reuters) - u.s. stocks fell in extremely thin  volume on monday as security concerns surrounding the  republican convention in new york and worries about an update  from technology bellwether intel corp. &lt;a href=""http://www.investor.reuters.com/fullquote.aspx?ticker=intc.o target=/stocks/quickinfo/fullquote""&gt;intc.o&lt;/a&gt; this week kept  investors on the sidelines."
2,shakeout seen for high-tech businesses industry watchers say a report that ibm corp. has put its once-dominant personal computer business up for sale could signal the first move in a broader consolidation destined to shrink the number of pc manufacturers by about a third over the next couple of years.
2,"dollar firm after upbeat u.s. data  tokyo (reuters) - the dollar held firm against the yen and  the euro on thursday on upbeat u.s. manufacturing data, but  many traders expected range-bound trading ahead of next week's  federal reserve meeting."
2,"cost of insuring workers' health increases 11.2 it was the fourth consecutive year of double-digit increases in health insurance premiums, which has resulted in a decline in the number of insured workers."
2,"tech stocks at 7-month high as oil drops  new york (reuters) - the technology-heavy nasdaq composite  stock index rose to a 7-month high on thursday as crude oil  prices tumbled, alleviating worry that high energy costs will  erode corporate profits."
2,"germany cuts d.telekom stake  frankfurt/london oct 11 (reuters) - germany sold a 6.3  percent stake in phone operator deutsche telekom on monday,  raising up to 4.5 billion euros (\$5.6 billion) to help it curb  a burgeoning budget deficit."
2,"a tax man laugheth at  #39;simplified #39; code as a tax guy, i found myself chuckling quietly when president bush said in his speech at the republican national convention that he would  quot;lead a bipartisan effort to reform and simplify the "
2,stock markets higher as insurance rally offsets uptick in oil &lt;b&gt;...&lt;/b&gt; toronto (cp) - a pickup in the us insurance sector sent stock markets higher tuesday afternoon however continued volatility in oil prices kept many investors from making large bets.
3,"half of internet viagra could be fake - study (reuters) reuters - as many as half of the viagra\anti-impotence pills sold on the internet could be counterfeit,\british scientists said on tuesday."
3,"new tremors detected at mount st. helens volcano (reuters) reuters - new tremors detected overnight at mount\st. helens increased the likelihood that the washington state\volcano would erupt again, scientists tracking renewed\earthquake activity at the mountain said on sunday."
3,bt to offer blackberry-enabled siemens handsets british telco bt has reached agreements with german mobile handset maker siemens and canadian wireless solutions provider research in motion (rim) to offer uk corporate customers the siemens sk65 handset with blackberry built-in technology.
3,"dutch minister's world revealed in 'blog' (reuters) reuters - dutch finance minister gerrit zalm\says his ""blog"" -- personal diary on the internet -- gives\people an idea of what it is to be a minister, with insights\into his professional and private life."
3,"digital contenders all hotshots great digital cameras are in danger of becoming commodity items. we just tested five high-end digital cameras, each with at least a 3x optical zoom, 5 megapixels or more of resolution and a "
3,"intel switches off tv chip in another change of plan, semiconductor giant intel has cancelled a project to develop a chip for projection tvs, saying it plans to focus its resources in other areas."
3,researchers to probe algae on lake shore (ap) ap - researchers are going scuba diving in lake michigan later this month to try to learn why an increasing amount of stinky green algae is accumulating on the shore.
3,"big maths solution  #39;looks good #39; one of the toughest problems in maths may have been solved by the russian scientist dr grigori perelman, of the steklov institute of mathematics."
3,"firefox 1.0 limbers up for launch mozilla will today launch the nearly-final version of firefox, its open source web browser, ahead of the 1.0 product launch on 9 november."
3,"jboss aims high with enterprise middleware system december 10, 2004 (idg news service) - open-source vendor jboss inc. on monday plans to formally announce a stack of middleware software designed to make it more competitive with the sophisticated products sold by companies like ibm, bea systems inc."
3,"drugstore offers new wave of disposable cameras pharmacy chain cvs corp. (cvs.n: quote, profile, research) on thursday said it would offer the world #39;s first disposable digital camera with a bright color viewing screen that allows consumers to instantly preview pictures."
3,"slimmer playstation triple sales sony playstation 2 #39;s slimmer shape has proved popular with uk gamers, with 50,000 sold in its first week on sale. sales have tripled since launch, outstripping microsoft #39;s xbox, said market analysts chart-track."
3,"microsoft hit by monopoly suits several california cities and counties have sued microsoft, accusing the software giant of illegally charging inflated prices for its products because of monopoly control of the personal computer operating systems market."
3,"gates: microsoft to target malware (newsfactor) newsfactor - microsoft (nasdaq: msft) is working on the development of a product to remove adware and malicious software from pcs, bill gates told a meeting of technologists in silicon valley."
3,"linux advocates challenge microsoft san jose, calif. (ap) -- seeking to be more competitive with microsoft corp..."
3,"pilots to try to retrieve genesis capsule (ap) ap - a few weeks ago, cliff fleming was chasing the batmobile at night in a helicopter 20 feet above the cavernous streets of chicago."
3,"microsoft ready to launch search engine microsoft on thursday will launch its long-promised internet search engine, which will compete directly with market leader google, sources close to the company said tuesday."
3,"new palm handheld features more memory, no wi-fi the t5 is a slim and shiny business device that looks like a stretched-out t3 (3.1 quot; x 4.8 quot; x 0.6 quot; hwd, 5.1 oz), minus the slider design."
3,uk group accuses apple of unfair download pricing london a british consumers #39; lobbying group has complained to the office of fair trading about prices on apple #39;s itunes online music download service.
3,dart flight will test key autopilot system a sophisticated autopilot system that could play a vital role in missions to the moon or mars will be tested this week during a \$100 million demonstration 500 miles above earth.
